JGI_Abbreviation,Species,Order,Class,Clade,Phylum,Pathogenic,Lifestyle,S,N,B,OB,HB,MP,P,O,ECM,ENM,E,EP,L,LF,EL,C,PY,BY,T,A,AL,HY,BR,WR,Plant,Fungus,Vertebrate,Invertebrate,Gymnosperms,Angiosperms,Main Stem,Leaves,Roots
PuccoNC29_1,Puccinia coronata avenae 12NC29,Pucciniales,Pucciniomycetes,Pucciniomycotina,Basidiomycota,YES, OB ,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
Pucgr2,Puccinia graminis f. sp. tritici v2.0,Pucciniales,Pucciniomycetes,Pucciniomycotina,Basidiomycota,YES, OB ,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
Pucstr1,Puccinia striiformis f. sp. tritici 104 E137 A-,Pucciniales,Pucciniomycetes,Pucciniomycotina,Basidiomycota,YES, OB  ,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
Puctr1,Puccinia triticina 1-1 BBBD Race 1,Pucciniales,Pucciniomycetes,Pucciniomycotina,Basidiomycota,YES, OB ,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO
Rhoto_IFO0559_1,Rhodosporidium toruloides IFO0559_1,Sporidiobolales,Microbotryomycetes,Pucciniomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Rhoglu1,Rhodotorula glutinis v1.0,Sporidiobolales,Microbotryomycetes,Pucciniomycotina,Basidiomycota,YES, S  EP  O ,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Rhoba1_1,Rhodotorula graminis strain WP1 v1.1,Sporidiobolales,Microbotryomycetes,Pucciniomycotina,Basidiomycota,NO, E ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Rhomi1,Rhodotorula minuta MCA 4210 v1.0,Erythrobasidiales,Cystobasidiomycetes,Pucciniomycotina,Basidiomycota,YES, S  O ,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Rhomuc1,Rhodotorula mucilaginosa ATCC58901 v1.0,Sporidiobolales,Microbotryomycetes,Pucciniomycotina,Basidiomycota,YES, S  E  O ,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Sporo1,Sporobolomyces roseus v1.0,Sporidiobolales,Microbotryomycetes,Pucciniomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Abobi1,Abortiporus biennis CCBS 521 v1.0,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  WR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Agabi_varbisH97_2,Agaricus bisporus var bisporus (H97) v2.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Agabi_varbur_1,Agaricus bisporus var. burnettii JB137-S8,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Agrped1,Agrocybe pediades AH 40210 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Agrpra2,Agrocybe praecox OKM6292 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Albpec1,Albatrellus peckianus DAOM 52321 v1.0,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Amamu1,Amanita muscaria Koide v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Amath1,Amanita thiersii Skay4041 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Amylap1_1,Amylocystis lapponica SKaAmylap13 v1.0,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  BR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Amycha1,Amylostereum chailletii DWAch2 v1.0,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  WR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Anobom1,Anomoporia bombycina ATCC 64506 v1.0,Amylocorticiales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  BR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Anomyc1,Anomoporia myceliosa MJL 4413 v1.0,Amylocorticiales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  WR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Antser1,Antrodia serialis Sig1Antser10 v1.0,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  BR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Antsi1,Antrodia sinuosa LB1 v1.0,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  BR  O ,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
Elmca1,Aporpium caryae L-13461,Auriculariales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Armcep1,Armillaria cepistipes B5,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  WR  O  N ,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES
Armect1,Armillaria ectypa FPL83.16 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Armga1,Armillaria gallica 21-2 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  WR  O  N ,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES
Armlut1,Armillaria luteobubalina HWK02 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  WR  N ,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES
Armme1_1,Armillaria mellea DSM 3731,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  WR  N ,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES
Armnab1,Armillaria nabsnona CMW6904 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  WR  O  N ,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES
Armosto1,Armillaria ostoyae C18/9,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  WR  N ,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES
Armost1,Armillaria solidipes 28-4 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  WR  N ,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES
Artele1122_1,Artolenzites elegans CIRM-BRFM 1122 v1.0,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  WR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Aurde3_1,Auricularia subglabra v2.0,Auriculariales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO , S  WR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Auramp1,Auriculariopsis ampla NL-1724 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Aurvu1,Auriscalpium vulgare FP105234-Sp v1.0,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bjead1_1,Bjerkandera adusta v1.0,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  WR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bolvit1,Bolbitius vitellinus SZMC-NL-1974 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  C ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Boled1,Boletus edulis v1.0,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Borrad1,Boreostereum radiatum TFC1981-005 v1.0,Gloeophyllales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Botbo1,Botryobasidium botryosum v1.0,Cantharellales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Calco1,Calocera cornea v1.0,Dacrymycetales,Dacrymycetes,Agaricomycotina,Basidiomycota,NO, S  BR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Calvi1,Calocera viscosa v1.0,Dacrymycetales,Dacrymycetes,Agaricomycotina,Basidiomycota,NO, S  BR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cananz1,Cantharellus anzutake C23 v1.0,Cantharellales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cercer1,Cerinomyces ceraceus ATCC 56525 v1.0,Dacrymycetales,Dacrymycetes,Agaricomycotina,Basidiomycota,NO, S  BR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cersu1,Ceriporiopsis (Gelatoporia) subvermispora B,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  WR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cerun2,Cerrena unicolor v1.1,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  WR  O  P ,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO
Clapy1,Clavicorona pyxidata HHB10654 v1.0,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ClaPMI390,Clavulina sp. PMI_390 v1.0,Cantharellales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Clibor1,Climacocystis borealis CliBor001 v1.0,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  O  P ,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES
Cligib1,Clitocybe gibba IJFM A808 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Conol1,Coniophora olivacea MUCL 20566 v1.0,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  BR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Conpu1,Coniophora puteana v1.0,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  BR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Copang1,Coprinellus angulatus DOB1924 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  PY  C ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Copmic2,Coprinellus micaceus FP101781 v2.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  E ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Coppel1,Coprinellus pellucidus v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  C ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Copci1,Coprinopsis cinerea,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,YES, S  O ,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Copmar1,Coprinopsis marcescibilis CBS121175 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Copscl1,Coprinopsis sclerotiger v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  C ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Corgl3,Cortinarius glaucopus AT 2004 276 v2.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Crafun1,Crassisporium funariophilum DOB1098 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  PY ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Creces1,Crepidotus cesatii CBS 511.95 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO?, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Crevar1,Crepidotus variabilis CBS 506.95 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  WR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Crison1,Cristinia sonorae KKN 215 v1.0,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  WR ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Crula1,Crucibulum laeve CBS 166.37 v1.0,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NO, S  WR  C ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Crycu1,Cryptococcus curvatus ATCC 20509 v1.0,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,YES, S  O ,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,NO,NO,NO
Cryne_JEC21_1,Cryptococcus neoformans var neoformans JEC21,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,YES, S  O ,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO